MIN=0,0,0,0,0,0,0,0,0,0,0,0,0
MAX=5,100,63,63,63,63,40,63,40,40,63,10000,63
SCALE=1,50,10,10,10,10,10,10,10,10,10,5000,10
DEC=0,0,0,0,0,0,0,0,0,0,0,0,0
"DEF=""Energy"" E / s",Zählrate N_1,Zählrate N_4,Zählrate N_2,Zählrate N_5,Zählrate N_3,Zählrate N_6,Zählrate N_4,Zählrate N_7,Zählrate N_5,Zählrate N_8,Zählrate N_1,Zählrate N_2
33,31,12,14,8,16,11,15,10,10,8,1518,12
34,27,15,12,13,18,5,13,13,11,7,1378,21
35,26,23,10,14,14,6,14,9,17,5,1371,29
36,33,10,12,11,10,9,16,13,10,22,1314,24
37,33,14,19,7,15,14,13,15,14,10,1270,14
38,30,17,18,13,17,15,19,18,13,9,1255,15
39,24,10,23,13,12,12,13,15,12,13,1233,26
40,29,11,17,20,22,11,9,6,11,15,1229,14
41,28,13,20,9,19,12,17,6,10,17,1305,16
42,17,22,19,14,16,17,13,14,8,12,1199,20
43,29,13,20,16,14,21,10,5,17,12,1295,13
44,28,17,16,12,16,14,17,15,14,15,1285,21
45,27,13,21,20,18,11,14,23,14,13,1316,23
46,27,16,21,12,26,12,17,11,18,15,1354,18
47,37,16,33,19,17,19,19,15,21,22,1325,26
48,24,19,21,21,14,22,13,16,14,18,1283,25
49,30,26,20,18,23,18,25,20,17,25,1377,32
50,32,26,26,15,32,17,21,18,27,22,1444,31
51,39,29,22,24,25,21,18,18,19,24,1586,27
52,40,37,30,28,26,24,27,21,34,25,1592,29
53,51,44,32,23,36,31,39,32,32,32,1791,47
54,53,38,36,37,32,27,31,36,31,25,1970,41
55,65,35,44,36,34,32,39,38,35,35,2149,51
56,67,55,52,33,43,37,44,41,34,32,2352,64
57,66,51,61,44,49,25,34,42,43,32,2397,56
58,58,36,58,28,42,37,40,39,42,46,2315,52
59,55,30,60,32,55,32,34,40,42,34,2232,56
60,64,28,42,36,37,33,42,29,42,35,2069,42
61,69,33,38,27,31,28,37,29,27,39,1970,41
62,43,45,36,32,39,27,35,33,30,31,1807,43
63,48,32,39,30,31,32,36,36,37,38,1768,45
64,51,23,36,32,36,29,39,33,26,33,1787,34
65,52,27,33,25,35,20,26,27,34,16,1710,49
66,50,23,32,17,27,20,24,21,22,31,1600,44
67,36,26,26,18,20,27,33,32,29,30,1479,34
68,30,29,25,21,22,12,28,10,24,18,1504,32
69,29,23,26,27,28,26,26,23,26,20,1355,29
70,37,30,33,12,23,19,26,16,25,21,1293,36
71,34,20,21,23,39,16,29,18,31,28,1271,33
72,45,18,26,26,21,24,26,25,24,21,1302,30
73,35,16,30,33,24,16,23,18,15,15,1219,23
74,43,20,31,14,27,21,25,21,18,30,1194,20
75,39,38,20,24,25,25,26,20,19,18,1291,37
76,38,25,28,21,27,26,16,20,35,23,1237,30
77,39,18,25,29,18,20,23,20,32,17,1270,32
78,48,21,33,23,20,15,15,24,35,19,1282,43
79,40,19,34,23,25,13,21,19,25,22,1264,28
80,40,19,22,17,25,20,20,20,25,30,1252,32
81,42,22,25,22,27,19,24,23,22,19,1278,32
82,36,21,31,16,27,22,26,18,11,30,1242,29
83,32,26,29,17,19,19,32,20,19,17,1282,22
84,34,19,31,24,28,23,29,18,26,17,1256,30
85,34,20,38,23,26,18,30,33,32,16,1217,20
86,27,17,22,17,24,16,39,19,25,23,1282,31
87,31,17,25,21,26,15,19,20,23,25,1319,36
88,33,32,33,17,27,19,33,23,28,14,1238,26
89,31,19,26,15,30,13,20,22,21,12,1255,28
90,27,16,27,16,21,21,21,16,26,21,1258,42
91,36,17,22,26,30,21,27,16,28,24,1135,29
92,45,28,23,12,35,21,22,16,23,22,1198,24
93,33,19,26,21,24,21,23,17,25,20,1267,30
94,47,22,23,8,23,25,26,19,17,21,1184,30
95,30,15,22,13,17,21,31,16,26,15,1172,29
96,52,20,24,19,25,11,31,18,21,22,1311,30
97,33,19,24,22,16,25,31,15,30,12,1271,26
98,35,22,21,16,24,24,23,15,24,19,1228,27
99,36,23,18,19,25,23,18,22,20,16,1227,24
100,28,21,29,20,25,20,29,15,22,15,1225,28
101,26,22,21,15,20,15,17,16,18,13,1195,26
102,29,19,32,20,29,18,17,20,24,21,1252,29
103,32,20,24,22,25,18,25,20,16,17,1218,25
104,42,21,22,18,17,17,24,15,28,16,1268,22
105,38,15,22,15,15,10,23,14,19,22,1272,32
106,37,22,25,19,15,14,24,15,21,17,1223,17
107,35,21,23,14,26,14,20,17,16,17,1286,21
108,32,14,23,15,16,7,23,15,22,13,1267,26
109,30,22,14,18,13,13,32,19,16,13,1304,22
110,38,18,16,22,18,16,19,17,18,15,1293,27
111,44,17,14,14,22,15,23,17,21,18,1292,24
112,36,20,16,21,26,15,15,14,15,17,1325,23
113,47,16,20,23,17,12,17,13,18,16,1411,25
114,27,20,22,14,17,18,24,14,14,15,1330,33
115,13,16,21,15,20,17,21,9,13,20,1293,20
116,28,17,28,17,14,13,17,9,19,14,1347,24
117,30,14,18,10,23,9,20,13,18,15,1457,27
118,32,20,17,15,9,10,19,11,17,19,1381,23
119,34,16,25,14,12,7,20,11,13,16,1322,18
120,30,19,26,16,11,19,22,17,12,14,1431,23
121,34,12,20,13,20,14,10,13,20,24,1486,29
122,27,16,25,15,28,15,20,15,19,14,1420,20
123,32,14,19,10,10,18,14,5,14,13,1494,19
124,27,9,22,11,19,12,19,13,18,16,1573,27
125,33,15,13,20,17,9,18,12,17,16,1626,25
126,25,16,18,8,28,8,23,13,15,16,1610,26
127,29,13,19,15,23,8,18,13,19,13,1707,29
128,39,22,11,18,23,10,25,23,14,15,1652,20
129,31,16,14,11,17,14,24,11,20,15,1686,29
130,32,15,13,14,12,10,21,14,22,13,1627,30
131,31,22,16,13,20,11,14,13,20,13,1708,22
132,23,13,20,11,18,9,11,14,14,18,1742,23
133,20,10,25,12,11,11,19,10,11,13,1736,29
134,37,18,13,13,11,12,19,14,20,15,1640,20
135,37,18,21,13,12,11,16,9,15,17,1800,17
136,33,16,18,8,14,16,18,10,14,15,1723,22
137,25,13,15,16,21,11,12,13,15,13,1694,29
138,20,11,22,10,17,11,17,11,21,16,1667,22
139,28,11,13,14,18,14,21,16,13,19,1680,13
140,28,12,21,12,18,14,15,14,13,12,1573,17
141,23,12,13,12,10,9,11,10,25,17,1636,22
142,23,21,16,21,14,8,15,13,23,14,1635,15
143,21,14,15,8,19,9,12,11,16,12,1666,25
144,29,17,13,11,17,14,20,16,16,16,1637,21
145,31,13,15,10,17,13,16,9,16,14,1540,29
146,20,11,25,8,13,14,14,12,14,15,1578,21
147,26,18,19,9,16,12,13,8,16,15,1542,15
148,25,6,23,8,13,22,17,9,17,17,1548,27
149,26,15,14,11,17,11,13,10,12,16,1532,16
150,32,13,28,8,8,7,12,17,13,13,1602,21
151,23,15,16,11,16,14,13,13,21,11,1551,21
152,27,18,15,15,19,12,10,7,16,15,1499,20
153,37,12,12,14,17,13,16,12,15,12,1557,28
154,25,8,19,11,14,13,18,10,13,10,1474,15
155,20,15,16,13,14,11,17,13,15,13,1482,16
156,17,11,21,9,9,15,19,11,16,11,1443,20
157,24,17,15,13,9,10,16,11,13,11,1481,34
158,36,9,19,12,13,13,12,15,12,6,1473,25
159,26,6,16,6,12,15,17,8,14,8,1425,14
160,24,13,12,12,6,10,11,15,15,14,1469,20
161,29,7,20,10,23,11,19,19,20,9,1475,14
162,29,14,11,12,13,13,16,16,21,6,1464,18
163,30,18,15,11,13,14,14,10,15,10,1456,18
164,12,13,15,10,14,10,13,13,16,8,1520,13
165,18,2,23,16,12,10,19,9,22,9,1451,13
166,23,10,11,8,25,17,14,11,16,12,1467,17
167,27,8,12,13,13,16,13,10,11,12,1422,20
168,18,11,17,6,11,11,10,11,13,15,1447,22
169,27,13,8,10,18,15,13,7,10,6,1514,13
170,24,8,14,8,15,8,10,14,19,10,1411,10
171,27,16,10,11,14,12,13,9,12,6,1405,16
172,24,10,16,8,8,14,11,11,10,7,1371,13
173,20,6,12,12,12,5,9,14,16,13,1371,13
174,16,4,12,11,13,5,10,7,18,12,1407,18
175,31,12,14,3,10,9,14,11,15,8,1441,10
176,25,8,5,11,7,10,8,8,13,12,1420,17
177,29,11,22,15,8,11,16,10,23,10,1360,16
178,28,4,13,10,16,12,12,13,20,8,1354,16
179,26,9,11,14,11,10,12,11,26,8,1409,12
180,28,10,9,13,14,10,10,10,23,4,1326,9
181,22,17,12,12,15,9,13,4,25,4,1407,7
182,27,9,14,7,8,6,12,5,30,4,1366,19
183,21,7,11,9,10,11,10,8,23,7,1287,12
184,22,9,14,9,12,13,11,8,29,7,1425,14
185,35,6,17,16,8,9,13,14,25,4,1406,13
186,28,12,10,6,11,3,10,9,28,10,1407,17
187,24,7,20,9,8,5,12,7,36,11,1335,12
188,33,8,12,7,12,10,20,16,27,11,1405,7
189,27,9,21,13,9,12,14,5,28,8,1383,13
190,19,6,18,5,16,10,18,3,26,7,1380,11
191,25,10,11,10,12,7,18,13,23,6,1336,10
192,27,6,14,11,8,10,11,10,33,5,1435,17
193,18,5,12,8,11,6,18,11,29,10,1410,21
194,30,7,8,9,6,9,19,12,19,9,1313,24
195,18,17,10,12,13,10,19,9,24,8,1418,11
196,28,7,8,10,9,10,31,5,20,6,1308,13
197,23,11,8,14,13,9,16,8,16,5,1418,20
198,32,11,11,15,11,3,21,11,22,5,1429,9
199,31,12,15,3,8,6,29,3,19,5,1340,9
200,16,8,13,4,9,8,20,4,33,7,1389,14
201,19,4,9,7,13,11,29,2,22,10,1368,11
202,24,7,16,15,16,8,23,4,24,5,1310,10
203,25,6,10,7,12,12,20,5,24,8,1354,12
204,19,6,12,6,16,11,24,8,26,7,1326,8
205,16,10,16,5,9,2,25,6,16,7,1380,14
206,21,13,7,8,7,6,20,6,19,6,1322,7
207,28,10,10,12,15,4,27,13,20,15,1385,12
208,19,10,11,10,12,8,22,6,24,9,1398,7
209,26,4,12,7,13,7,26,6,24,7,1360,12
210,19,6,11,7,12,9,32,6,18,7,1395,13
211,22,6,10,9,11,3,23,4,10,6,1375,6
212,16,16,12,5,15,6,24,5,14,3,1378,11
213,22,9,10,8,16,9,30,7,13,4,1362,14
214,19,8,13,9,17,8,32,11,13,11,1449,14
215,24,12,13,7,16,5,26,4,11,6,1389,17
216,20,12,6,4,15,8,17,2,14,11,1409,10
217,22,12,12,7,16,3,32,2,6,5,1390,15
218,21,6,10,9,20,11,24,7,11,7,1405,13
219,27,11,6,4,12,9,34,4,11,3,1405,12
220,25,8,14,7,18,7,30,6,10,5,1427,10
221,26,7,7,5,22,12,23,4,7,3,1332,7
222,26,5,13,11,20,8,26,7,7,7,1400,8
223,25,10,4,11,24,9,23,4,5,5,1354,12
224,24,14,10,8,26,7,27,6,8,2,1425,16
225,17,13,12,6,16,5,19,9,9,4,1420,15
226,16,9,15,7,26,12,14,4,9,9,1397,8
227,23,9,10,10,22,8,15,3,5,4,1383,8
228,27,12,11,11,17,5,17,5,10,5,1369,11
229,20,4,12,6,20,11,14,8,7,3,1387,11
230,27,11,11,6,22,6,17,5,5,10,1422,18
231,30,7,16,10,14,4,23,5,6,5,1411,14
232,23,9,17,5,21,5,14,4,10,4,1323,6
233,26,4,14,4,21,8,16,7,11,3,1457,16
234,19,6,14,6,24,7,11,3,5,2,1364,18
235,19,9,17,10,32,5,9,4,5,7,1415,8
